,Arribo,Fecha,Vacuna,Farmacéutica,Cantidad
0,Vuelo 1,23/12/2020,Pfizer,Pfizer-BioNTech,"2,925"
1,Vuelo 2,26/12/2020,Pfizer,Pfizer-BioNTech,"8,775"
2,Vuelo 3,26/12/2020,Pfizer,Pfizer-BioNTech,"34,125"
3,Vuelo 4,30/12/2020,Pfizer,Pfizer-BioNTech,"7,800"
4,Vuelo 5,05/01/2021,Pfizer,Pfizer-BioNTech,"44,850"
5,Vuelo 6,05/01/2021,Pfizer,Pfizer-BioNTech,"8,775"
6,Vuelo 7,12/01/2021,Pfizer,Pfizer-BioNTech,"439,725"
7,Vuelo 8,19/01/2021,Pfizer,Pfizer-BioNTech,"5,850"
8,Vuelo 9,19/01/2021,Pfizer,Pfizer-BioNTech,"213,525"
9,Vuelo 10,14/02/2021,AstraZeneca,AstraZeneca,"870,000"
10,Vuelo 11,16/02/2021,Pfizer,Pfizer-BioNTech,"4,875"
11,Vuelo 12,16/02/2021,Pfizer,Pfizer-BioNTech,"486,525"
12,Vuelo 13,20/02/2021,Sinovac,Sinovac,"200,000"
13,Vuelo 14,22/02/2021,Sputnik V,Sputnik V,"200,000"
14,Vuelo 15,23/02/2021,Pfizer,Pfizer-BioNTech,"125,775"
15,Vuelo 16,23/02/2021,Pfizer,Pfizer-BioNTech,"386,100"
16,Vuelo 17,27/02/2021,Sinovac,Sinovac,"800,000"
17,Vuelo 18,02/03/2021,Pfizer,Pfizer-BioNTech,"156,000"
18,Vuelo 19,02/03/2021,Pfizer,Pfizer-BioNTech,"106,275"
19,Vuelo 20,02/03/2021,Pfizer,Pfizer-BioNTech,"381,225"
20,Vuelo 21,02/03/2021,Pfizer,Pfizer-BioNTech,"208,650"
21,Vuelo 22,09/03/2021,Pfizer,Pfizer-BioNTech,"108,225"
22,Vuelo 23,09/03/2021,Pfizer,Pfizer-BioNTech,"72,150"
23,Vuelo 24,09/03/2021,Pfizer,Pfizer-BioNTech,"275,925"
24,Vuelo 25,09/03/2021,Pfizer,Pfizer-BioNTech,"144,300"
25,Vuelo 26,10/03/2021,Sputnik V,Sputnik V,"200,000"
26,Vuelo 27,13/03/2021,Sinovac,Sinovac,"1,000,000"
27,Vuelo 28,16/03/2021,Pfizer,Pfizer-BioNTech,"121,875"
28,Vuelo 29,16/03/2021,Pfizer,Pfizer-BioNTech,"103,350"
29,Vuelo 30,16/03/2021,Pfizer,Pfizer-BioNTech,"217,425"
30,Vuelo 31,16/03/2021,Pfizer,Pfizer-BioNTech,"225,225"
31,Vuelo 32,18/03/2021,Sinovac,Sinovac,"1,000,000"
32,Vuelo 33,23/03/2021,Pfizer,Pfizer-BioNTech,"487,500"
33,Vuelo 34,24/03/2021,Pfizer,Pfizer-BioNTech,"170,625"
34,Vuelo 35,25/03/2021,Sinovac,Sinovac,"1,000,000"
35,Vuelo 36,27/03/2021,CanSino,CanSino Biologics,"65,000"
36,Vuelo 37,28/03/2021,AstraZeneca,AstraZeneca,"1,510,600"
37,Vuelo 38,30/03/2021,Pfizer,Pfizer-BioNTech,"487,500"
38,Vuelo 39,31/03/2021,Sputnik V,Sputnik V,"500,000"
39,Vuelo 40,31/03/2021,Pfizer,Pfizer-BioNTech,"145,275"
40,Vuelo 41,01/04/2021,AstraZeneca,AstraZeneca,"1,208,700"
41,Vuelo 42,05/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
42,Vuelo 43,08/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
43,Vuelo 44,09/04/2021,Pfizer,Pfizer-BioNTech,"327,600"
44,Vuelo 45,22/03/2021,CanSino,CanSino Biologics,"940,470"
45,Vuelo 46,07/04/2021,CanSino,CanSino Biologics,"434,830"
46,Vuelo 47,12/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
47,Vuelo 48,15/04/2021,Sinovac,Sinovac,"500,000"
48,Vuelo 49,15/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
49,Vuelo 50,15/04/2021,CanSino,CanSino Biologics,"674,740"
50,Vuelo 51,16/04/2021,Pfizer,Pfizer-BioNTech,"328,575"
51,Vuelo 52,21/04/2021,Sputnik V,Sputnik V,"200,000"
52,Vuelo 53,21/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
53,Vuelo 54,21/04/2021,AstraZeneca,AstraZeneca,"1,075,200"
54,Vuelo 55,22/04/2021,Pfizer,Pfizer-BioNTech,"374,400"
55,Vuelo 56,23/04/2021,CanSino,CanSino Biologics,"582,120"
56,Vuelo 57,24/04/2021,Sinovac,Sinovac,"500,000"
